starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:25 2013	1371506305	205	580	784	512
Mon Jun 17 15:58:36 2013	1371506316	205	579	784	518
Mon Jun 17 15:58:37 2013	1371506317	213	572	785	505
Mon Jun 17 15:58:29 2013	1371506309	210	575	785	573
Mon Jun 17 15:58:49 2013	1371506329	221	565	786	503
Mon Jun 17 15:58:12 2013	1371506292	208	578	786	501
Mon Jun 17 15:58:47 2013	1371506327	216	571	786	570
Mon Jun 17 15:58:41 2013	1371506321	204	583	787	580
Mon Jun 17 15:58:28 2013	1371506308	219	570	788	566
Mon Jun 17 15:58:45 2013	1371506325	199	589	788	579
Mon Jun 17 15:58:47 2013	1371506327	202	586	788	530
Mon Jun 17 15:58:39 2013	1371506319	221	568	789	504
Mon Jun 17 15:58:34 2013	1371506314	204	584	789	584
Mon Jun 17 15:58:45 2013	1371506325	223	565	789	563
Mon Jun 17 15:58:41 2013	1371506321	215	573	789	572
Mon Jun 17 15:58:24 2013	1371506304	207	582	789	527
Mon Jun 17 15:58:30 2013	1371506310	215	575	790	513
Mon Jun 17 15:58:44 2013	1371506324	215	576	791	575
Mon Jun 17 15:58:30 2013	1371506310	205	587	792	585
Mon Jun 17 15:58:35 2013	1371506315	233	559	792	556
Mon Jun 17 15:58:44 2013	1371506324	212	582	794	582
Mon Jun 17 15:58:28 2013	1371506308	204	590	794	588
Mon Jun 17 15:58:49 2013	1371506329	210	585	794	583
Mon Jun 17 15:58:43 2013	1371506323	205	589	794	584
Mon Jun 17 15:58:44 2013	1371506324	203	591	795	530
Mon Jun 17 15:58:37 2013	1371506317	223	572	796	572
Mon Jun 17 15:58:23 2013	1371506303	209	587	796	584
Mon Jun 17 15:58:25 2013	1371506305	212	587	799	587
Mon Jun 17 15:58:26 2013	1371506306	249	551	799	483
Mon Jun 17 15:58:32 2013	1371506312	204	596	801	594
Mon Jun 17 15:58:43 2013	1371506323	217	584	801	510
Mon Jun 17 15:58:37 2013	1371506317	204	598	801	595
Mon Jun 17 15:58:30 2013	1371506310	219	583	802	581
Mon Jun 17 15:58:30 2013	1371506310	216	586	802	524
Mon Jun 17 15:58:25 2013	1371506305	206	597	803	597
Mon Jun 17 15:58:24 2013	1371506304	201	602	803	600
Mon Jun 17 15:58:35 2013	1371506315	208	595	803	532
Mon Jun 17 15:58:47 2013	1371506327	207	597	805	529
Mon Jun 17 15:58:28 2013	1371506308	202	603	805	602
Mon Jun 17 15:58:25 2013	1371506305	202	603	805	556
Mon Jun 17 15:58:12 2013	1371506292	208	598	806	526
Mon Jun 17 15:58:44 2013	1371506324	208	599	808	591
Mon Jun 17 15:58:30 2013	1371506310	220	588	808	581
Mon Jun 17 15:58:47 2013	1371506327	208	600	809	600
Mon Jun 17 15:58:34 2013	1371506314	217	593	809	591
